Title	Project	File Base Name	Coord Type	Start Longitude	Start Latitude	End Longitude	End Latitude	Velocity Offset	Rest Frequency	Frequency Delta	Start Cal Time	End Cal Time	Integration Period	Start Time	Reference	Epoch
PocketSpacecraft	MGS-NEO2-44117A	AZ0_EL5	AZEL	0	5	0	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ10_EL5	AZEL	10	5	10	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ20_EL5	AZEL	20	5	20	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ30_EL5	AZEL	30	5	30	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ40_EL5	AZEL	40	5	40	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ50_EL5	AZEL	50	5	50	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ60_EL5	AZEL	60	5	60	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ70_EL5	AZEL	70	5	70	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ80_EL5	AZEL	80	5	80	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ90_EL5	AZEL	90	5	90	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ100_EL5	AZEL	100	5	100	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ110_EL5	AZEL	110	5	110	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ120_EL5	AZEL	120	5	120	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ130_EL5	AZEL	130	5	130	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ140_EL5	AZEL	140	5	140	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ150_EL5	AZEL	150	5	150	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ160_EL5	AZEL	160	5	160	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ170_EL5	AZEL	170	5	170	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ180_EL5	AZEL	180	5	180	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ190_EL5	AZEL	190	5	190	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ200_EL5	AZEL	200	5	200	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ210_EL5	AZEL	210	5	210	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ220_EL5	AZEL	220	5	220	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ230_EL5	AZEL	230	5	230	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ240_EL5	AZEL	240	5	240	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ250_EL5	AZEL	250	5	250	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ260_EL5	AZEL	260	5	260	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ270_EL5	AZEL	270	5	270	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ280_EL5	AZEL	280	5	280	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ290_EL5	AZEL	290	5	290	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ300_EL5	AZEL	300	5	300	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ310_EL5	AZEL	310	5	310	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ320_EL5	AZEL	320	5	320	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ330_EL5	AZEL	330	5	330	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ340_EL5	AZEL	340	5	340	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ350_EL5	AZEL	350	5	350	5	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ350_EL10	AZEL	350	10	350	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ340_EL10	AZEL	340	10	340	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ330_EL10	AZEL	330	10	330	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ320_EL10	AZEL	320	10	320	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ310_EL10	AZEL	310	10	310	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ300_EL10	AZEL	300	10	300	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ290_EL10	AZEL	290	10	290	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ280_EL10	AZEL	280	10	280	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ270_EL10	AZEL	270	10	270	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ260_EL10	AZEL	260	10	260	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ250_EL10	AZEL	250	10	250	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ240_EL10	AZEL	240	10	240	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ230_EL10	AZEL	230	10	230	10	0	0	0	0	0	20	0	NO	AZEL
